id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,c_ig_reg,c_ig_nac,pob_rsh_uv,hog_uv,p_urbano,precio_clp,nivel_barrio,precio_m2_sector_departamento,tiene_comparables_cercanos,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
MLC-2013009891,2.0,1.0,3,18,False,1033.1,1033.1,5.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,74.0,70.0,0,150000.0,0,1.0,0.0,1.0,0.0,1.0,5941.0,2.0,4.0,4.0,3137.0,1891.0,99.99999999999999,580000.0,2,10000.0,True,False,False,0,1.0571428571428572
MLC-4111940010,2.0,1.0,2,4,False,873.3,873.3,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,50.0,0,40000.0,0,0.0,0.0,1.0,0.0,1.0,5332.0,1.0,4.0,4.0,4499.0,2404.0,99.99999999999996,450000.0,2,9473.684210526315,True,False,False,0,0.96
MLC-4096291884,1.0,0.0,1,2,True,926.5,926.5,5.0,5.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,33.0,37.6,0,55000.0,0,0.0,0.0,0.0,1.0,10.0,5492.0,1.0,4.0,4.0,2073.0,1418.0,100.00000000000001,380000.0,2,11000.0,True,False,False,0,0.8776595744680851
MLC-4093490448,2.0,1.0,3,16,True,3996.5,3996.5,5.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,84.0,84.0,1,150000.0,0,0.0,0.0,1.0,1.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,650000.0,1,10192.307692307691,True,False,False,0,1.0
MLC-4064383302,1.0,0.0,1,6,False,709.8,709.8,5.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,0.0,41.0,39.0,0,35000.0,1,0.0,0.0,0.0,0.0,5.0,5492.0,1.0,4.0,4.0,2073.0,1418.0,100.00000000000001,400000.0,2,11008.474576271186,True,False,False,1,1.0512820512820513
MLC-4109494132,1.0,0.0,1,0,True,2589.7,2589.7,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,37.6,0,45000.0,0,0.0,0.0,1.0,0.0,2.0,6304.0,3.0,4.0,4.0,4026.0,2134.0,100.00000000000003,300000.0,4,9787.234042553191,True,False,False,0,0.8776595744680851
MLC-4038753388,2.0,1.0,3,30,True,124.7,124.7,5.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,0.0,5.0,0.0,140.0,140.0,0,250000.0,0,0.0,0.0,1.0,1.0,7.0,6318.0,3.0,4.0,4.0,1035.0,677.0,100.00000000000001,780000.0,2,11168.384879725085,True,False,False,0,1.0
MLC-1975352157,1.0,0.0,1,0,True,723.7,723.7,5.0,5.0,5.0,3.0,2.0,1.0,5.0,0.0,0.0,3.0,0.0,33.0,37.6,0,25000.0,0,0.0,0.0,0.0,1.0,5.0,6636.0,4.0,4.0,4.0,2317.0,1552.0,99.99999999999994,400000.0,2,11168.384879725085,True,False,False,0,0.8776595744680851
MLC-1968291315,1.0,0.0,1,5,True,1436.2,1436.2,5.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,40.0,37.0,1,25000.0,1,0.0,0.0,1.0,1.0,8.0,6382.0,3.0,4.0,4.0,2472.0,1579.0,44.747797054366714,400000.0,4,10750.0,True,False,False,0,1.0810810810810811
MLC-4073517528,1.0,0.0,1,2,True,718.0,718.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,33.0,37.6,0,45000.0,1,0.0,0.0,1.0,1.0,3.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,280000.0,2,10582.306830907055,True,False,False,0,0.8776595744680851
