,id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,c_ig_reg,c_ig_nac,pob_rsh_uv,hog_uv,p_urbano,precio_clp,nivel_barrio,precio_m2_sector_casa,precio_m2_sector_departamento,tiene_comparables_cercanos,tipo_propiedad_departamento,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
94,MLC-4112475794,1.0,0.0,1,1,True,758.0,758.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,50.0,0,0.0,0.0,0.0,1.0,9.0,4644.0,1.0,4.0,3.0,2739.0,1645.0,100.00000000000004,350000.0,2,7791.327913279132,10858.845725066461,True,True,False,False,0,1.0
95,MLC-2020552985,1.0,1.0,1,1,True,758.0,758.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,50.0,0,0.0,0.0,1.0,1.0,9.0,4644.0,1.0,4.0,3.0,2739.0,1645.0,100.00000000000004,450000.0,2,7791.327913279132,10767.20037127277,True,True,False,False,0,1.0
96,MLC-1997638383,2.0,1.0,3,13,True,5167.4,5167.4,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,78.2,78.0,1.0,120.0,0,0.0,0.0,1.0,1.0,9.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,650000.0,4,7791.327913279132,9375.0,True,True,False,False,0,1.0025641025641026
97,MLC-2037612063,1.0,0.0,1,2,True,2589.7,2589.7,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,37.9,0.0,40.0,0,0.0,0.0,0.0,0.0,10.0,6304.0,3.0,4.0,4.0,4026.0,2134.0,100.00000000000003,300000.0,3,7791.327913279132,9366.754617414248,True,True,False,False,0,0.8443271767810027
98,MLC-4146282872,1.0,1.0,2,0,True,948.9,948.9,5.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,45.0,40.0,1.0,70.0,0,0.0,0.0,1.0,0.0,1.0,6178.0,3.0,4.0,4.0,2620.0,1658.0,100.0,255000.0,2,7791.327913279132,10819.148936170212,True,True,False,False,0,1.125
99,MLC-4087922864,1.0,1.0,1,5,True,959.4,959.4,5.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,37.9,1.0,50.0,0,0.0,0.0,1.0,1.0,1.0,4889.0,1.0,4.0,3.0,6948.0,3534.0,56.36092741949685,400000.0,1,7791.327913279132,9387.5,True,True,False,False,0,0.8443271767810027
100,MLC-4159929692,2.0,1.0,2,4,True,4859.9,4859.9,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,72.0,1.0,95.0,1,0.0,0.0,1.0,1.0,6.0,6282.0,3.0,4.0,4.0,12506.0,6078.0,99.99999999999994,700000.0,4,7791.327913279132,10817.941952506597,True,True,False,False,1,1.0694444444444444
101,MLC-2016094127,1.0,1.0,1,15,True,1783.9,1783.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0,0.0,0.0,1.0,1.0,10.0,5924.0,2.0,4.0,4.0,3532.0,1915.0,99.99999999999997,400000.0,3,7791.327913279132,10290.23746701847,True,True,False,False,0,1.3333333333333333
102,MLC-4071284198,1.0,0.0,1,10,True,781.1,781.1,5.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,38.0,38.0,1.0,48.0,0,0.0,0.0,0.0,0.0,1.0,3967.0,1.0,3.0,3.0,2152.0,1148.0,50.505791961990965,365000.0,1,7791.327913279132,9541.007036059807,True,True,False,False,0,1.0
103,MLC-4077955144,2.0,1.0,2,3,True,4321.9,4321.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,1,0.0,0.0,1.0,1.0,6.0,6282.0,3.0,4.0,4.0,12506.0,6078.0,99.99999999999994,600000.0,4,7791.327913279132,9803.921568627451,True,True,False,False,0,1.0
104,MLC-4101799296,1.0,1.0,2,12,True,1151.4,1151.4,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,44.0,1.0,90.0,1,0.0,0.0,1.0,1.0,13.0,6382.0,3.0,4.0,4.0,2472.0,1579.0,44.747797054366714,500000.0,3,7791.327913279132,10750.0,True,True,False,False,0,1.0
