id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,pob_rsh_uv,hog_uv,p_urbano,precio_clp,costo_total_clp,nivel_barrio,precio_m2_sector_departamento,tiene_comparables_cercanos,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
MLC-4234289642,1.0,0,0,1,True,3240.9,3240.9,5.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,35000.0,0.0,0.0,0.0,0.0,0.0,1.0,6571.0,4.0,1072.0,625.0,89.9626305483346,438258.92000000004,473258.92000000004,0,10980.172689478733,True,False,False,0,1.0
MLC-4233323214,2.0,0,2,0,True,482.1,482.1,5.0,2.0,3.0,1.0,1.0,3.0,5.0,2.0,0.0,2.0,0.0,57.0,54.0,0.0,110000.0,0.0,0.0,0.0,1.0,1.0,9.0,3511.0,1.0,1254.0,785.0,100.0,500000.0,610000.0,2,11755.31914893617,True,False,False,0,1.0555555555555556
MLC-4230662684,1.0,0,2,3,True,705.0,705.0,5.0,5.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,50.0,50.0,0.0,70000.0,0.0,0.0,0.0,1.0,1.0,2.0,6636.0,4.0,2317.0,1552.0,99.9999999999999,450000.0,520000.0,2,12754.19587334934,True,False,False,0,1.0
MLC-4234137264,2.0,0,2,1,True,3240.9,3240.9,5.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,59.7,58.3,0.0,65000.0,0.0,0.0,0.0,0.0,0.0,1.0,6571.0,4.0,1072.0,625.0,89.9626305483346,637467.52,702467.52,0,10980.172689478733,True,False,False,0,1.0240137221269299
MLC-2018156819,2.0,1,3,1,True,5510.1,5510.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,67.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,1.0,6684.0,4.0,6833.0,3079.0,90.5171296845883,600000.0,690000.0,4,11400.0,False,False,False,1,1.044776119402985
MLC-4234264442,2.0,0,2,1,True,3240.9,3240.9,5.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,59.7,58.3,0.0,65000.0,0.0,0.0,0.0,0.0,0.0,1.0,6571.0,4.0,1072.0,625.0,89.9626305483346,637467.52,702467.52,0,10980.172689478733,True,False,False,0,1.0240137221269299
MLC-2018301409,1.0,1,1,4,False,2625.4,2625.4,5.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,36.0,36.0,0.0,60000.0,0.0,0.0,0.0,0.0,1.0,1.0,5455.0,1.0,10400.0,5578.0,70.0075532601241,420000.0,480000.0,0,11361.526434085801,True,False,False,0,1.0
MLC-4235776206,1.0,1,1,0,True,1406.3,1406.3,5.0,2.0,4.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,40.0,40.0,0.0,60000.0,0.0,0.0,0.0,1.0,0.0,5.308641975308642,6382.0,3.0,2472.0,1579.0,44.7477970543667,550000.0,610000.0,4,12567.567567567568,True,False,False,0,1.0
MLC-4234262296,2.0,1,3,10,True,5381.3,5381.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0,65000.0,0.0,0.0,0.0,1.0,1.0,1.0,6684.0,4.0,6833.0,3079.0,90.5171296845883,700000.0,765000.0,4,9827.201783723522,True,False,False,0,1.0
MLC-4198195444,1.0,1,3,0,False,676.6,12229.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0,50000.0,1.0,1.0,0.0,1.0,0.0,1.0,5136.0,2.0,13939.0,6879.0,81.3670347779654,460000.0,510000.0,1,9276.315789473683,True,True,False,0,1.0
MLC-2084186181,1.0,0,1,4,True,760.3,760.3,5.0,5.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,5.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6768.0,4.0,1656.0,1111.0,100.0,290000.0,290000.0,2,11777.777777777777,True,False,False,0,1.0
MLC-4233321216,2.0,1,2,8,False,903.3,903.3,5.0,5.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,5.0,0.0,59.7,58.3,1.0,110000.0,1.0,1.0,0.0,1.0,1.0,9.0,6768.0,4.0,1656.0,1111.0,100.0,660000.0,770000.0,2,12250.0,True,False,False,0,1.0240137221269299
MLC-4198199734,2.0,2,3,15,True,1445.8,4860.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,93.0,1.0,200000.0,1.0,0.0,0.0,1.0,0.0,4.0,6748.0,4.0,2908.0,1351.0,5.75523405114186,950000.0,1150000.0,3,11326.671128466121,True,False,True,0,1.0
